Year,Champions,Runners_up,Score_2
1981,"Frew McMillan(2)
Betty Stöve(2)","John Austin
Tracy Austin","4–6, 7–6(7–2), 6–3"
1982,"Kevin Curren
Anne Smith","John Lloyd
Wendy Turnbull","2–6, 6–3, 7–5"
1983,"John Lloyd
Wendy Turnbull","Steve Denton
Billie Jean King","6–7(5–7), 7–6(7–5), 7–5"
1984,"John Lloyd(2)
Wendy Turnbull(2)","Steve Denton
Kathy Jordan","6–3, 6–3"
1985,"Paul McNamee
Martina Navratilova","John Fitzgerald
Elizabeth Smylie","7–5, 4–6, 6–2"
1986,"Ken Flach
Kathy Jordan","Heinz Günthardt
Martina Navratilova","6–3, 7–6(9–7)"
1987,"Jeremy Bates
Jo Durie","Darren Cahill
Nicole Provis","7–6(12–10), 6–3"
1988,"Sherwood Stewart
Zina Garrison","Kelly Jones
Gretchen Magers","6–1, 7–6(7–3)"
1989,"Jim Pugh
Jana Novotná","Mark Kratzmann
Jenny Byrne","6–4, 5–7, 6–4"
1990,"Rick Leach
Zina Garrison(2)","John Fitzgerald
Elizabeth Smylie","7–5, 6–2"
1991,"John Fitzgerald
Elizabeth Smylie","Jim Pugh
Natasha Zvereva","7–6(7–4), 6–2"
1992,"Cyril Suk
Larisa Savchenko Neiland","Jacco Eltingh
Miriam Oremans","7–6(7–2), 6–2"
1993,"Mark Woodforde
Martina Navratilova(2)","Tom Nijssen
Manon Bollegraf","6–3, 6–4"
1994,"Todd Woodbridge
Helena Suková","T. J. Middleton
Lori McNeil","3–6, 7–5, 6–3"
1995,"Jonathan Stark
Martina Navratilova(3)","Cyril Suk
Gigi Fernández","6–4, 6–4"
1996,"Cyril Suk(2)
Helena Suková(2)","Mark Woodforde
Larisa Savchenko Neiland","1–6, 6–3, 6–2"
1997,"Cyril Suk(3)
Helena Suková(3)","Andrei Olhovskiy
Larisa Savchenko Neiland","4–6, 6–3, 6–4"
1998,"Max Mirnyi
Serena Williams","Mahesh Bhupathi
Mirjana Lučić","6–4, 6–4"
1999,"Leander Paes
Lisa Raymond","Jonas Björkman
Anna Kournikova","6–4, 3–6, 6–3"
2000,"Donald Johnson
Kimberly Po","Lleyton Hewitt
Kim Clijsters","6–4, 7–6(7–3)"
2001,"Leoš Friedl
Daniela Hantuchová","Mike Bryan
Liezel Huber","4–6, 6–3, 6–2"
2002,"Mahesh Bhupathi
Elena Likhovtseva","Kevin Ullyett
Daniela Hantuchová","6–2, 1–6, 6–1"
2003,"Leander Paes(2)
Martina Navratilova(4)","Andy Ram
Anastasia Rodionova","6–3, 6–3"
2004,"Wayne Black
Cara Black","Todd Woodbridge
Alicia Molik","3–6, 7–6(10–8), 6–4"
2005,"Mahesh Bhupathi(2)
Mary Pierce","Paul Hanley
Tatiana Perebiynis","6–4, 6–2"
2006,"Andy Ram
Vera Zvonareva","Bob Bryan
Venus Williams","6–3, 6–2"
2007,"Jamie Murray
Jelena Janković","Jonas Björkman
Alicia Molik","6–4, 3–6, 6–1"
2008,"Bob Bryan
Samantha Stosur","Mike Bryan
Katarina Srebotnik","7–5, 6–4"
2009,"Mark Knowles
Anna-Lena Grönefeld","Leander Paes
Cara Black","7–5, 6–3"
2010,"Leander Paes(3)
Cara Black(2)","Wesley Moodie
Lisa Raymond","6–4, 7–6(7–5)"
2011,"Jürgen Melzer
Iveta Benešová","Mahesh Bhupathi
Elena Vesnina","6–3, 6–2"
2012,"Mike Bryan
Lisa Raymond(2)","Leander Paes
Elena Vesnina","6–3, 5–7, 6–4"
2013,"Daniel Nestor
Kristina Mladenovic","Bruno Soares
Lisa Raymond","5–7, 6–2, 8–6"
2014,"Nenad Zimonjić
Samantha Stosur(2)","Max Mirnyi
Chan Hao-ching","6–4, 6–2"
2015,"Leander Paes(4)
Martina Hingis","Alexander Peya
Tímea Babos","6–1, 6–1"
2016,"Henri Kontinen
Heather Watson","Robert Farah
Anna-Lena Grönefeld","7–6(7–5), 6–4"
2017,"Jamie Murray(2)
Martina Hingis(2)","Henri Kontinen
Heather Watson","6–4, 6–4"
2018,"Alexander Peya
Nicole Melichar","Jamie Murray
Victoria Azarenka","7–6(7–1), 6–3"
2019,"Ivan Dodig
Latisha Chan","Robert Lindstedt
Jeļena Ostapenko","6–2, 6–3"
2020,No competition (due to COVID-19 pandemic)[3],,
2021,"Neal Skupski
Desirae Krawczyk","Joe Salisbury
Harriet Dart","6–2, 7–6(7–1)"
2022,"Neal Skupski(2)
Desirae Krawczyk(2)","Matthew Ebden
Samantha Stosur","6–4, 6–3"
2023,"Mate Pavić
Lyudmyla Kichenok","Joran Vliegen
Xu Yifan","6–4, 6–7(9–11), 6–3"
